Loan_ID,Loan_Type,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Loan_Status,ApplicantIncome_LKR,CoapplicantIncome_LKR,LoanAmount_LKR,Property_Region_SL,Employment_Sector,CRIB_Clearance
LP0063,Housing Loan,Male,Yes,2,Not Graduate,Yes,120,Y,186660,49500,3870000,Badulla,Informal/Self-Employed,Low Risk
LP0064,Vehicle Lease,Male,Yes,0,Not Graduate,No,60,Y,48340,72200,2990000,Gampaha,Private Sector,Very Low Risk
LP0065,Housing Loan,Male,No,1,Graduate,Yes,120,Y,93480,85100,4120000,Vavuniya,Private Sector,Very Low Risk
LP0066,Housing Loan,Female,No,2,Graduate,Yes,120,N,238660,147940,4900000,Kegalle,Informal/Self-Employed,Low Risk
LP0067,Personal Loan,Female,No,0,Graduate,No,12,Y,170280,34700,700000,Badulla,Private Sector,Very Low Risk
LP0068,Business/SME Loan,Male,No,2,Not Graduate,Yes,60,Y,31780,195540,2450000,Kurunegala,Private Sector,Low Risk
LP0069,Vehicle Lease,Female,Yes,0,Graduate,No,60,Y,64180,165160,2270000,Kurunegala,Private Sector,Very Low Risk
LP0070,Housing Loan,Female,Yes,0,Not Graduate,Yes,120,Y,237220,159580,4660000,Kegalle,Government,Average Risk
LP0071,Personal Loan,Female,No,0,Not Graduate,Yes,12,N,278600,48560,560000,Matale,Government,Very High Risk
LP0072,Business/SME Loan,Female,Yes,1,Not Graduate,Yes,36,Y,90820,148520,1190000,Trincomalee,Private Sector,Very Low Risk
LP0073,Personal Loan,Male,Yes,1,Not Graduate,No,36,N,32100,170660,1760000,Mullaitivu,Private Sector,High Risk
LP0074,Housing Loan,Female,No,2,Not Graduate,No,120,Y,211560,104980,4480000,Mannar,Government,Low Risk
LP0075,Housing Loan,Male,Yes,0,Not Graduate,Yes,60,Y,202380,105820,2090000,Gampaha,Informal/Self-Employed,Low Risk
LP0076,Business/SME Loan,Female,No,0,Graduate,Yes,60,Y,67900,56340,2970000,Matale,Private Sector,Low Risk
LP0077,Housing Loan,Female,Yes,1,Graduate,No,60,Y,151800,188480,2520000,Matara,Government,Low Risk
LP0078,Business/SME Loan,Female,No,0,Not Graduate,Yes,48,Y,200160,77480,1970000,Polonnaruwa,Informal/Self-Employed,Very Low Risk
LP0079,Business/SME Loan,Male,No,1,Not Graduate,Yes,48,Y,151640,193720,1920000,Kandy,Informal/Self-Employed,Very Low Risk
LP0080,Housing Loan,Female,No,0,Graduate,Yes,120,Y,42680,84220,4810000,Matara,Informal/Self-Employed,Very Low Risk
LP0081,Business/SME Loan,Male,No,2,Not Graduate,Yes,60,Y,68500,13220,2480000,Matale,Government,Average Risk
LP0082,Housing Loan,Female,Yes,0,Not Graduate,No,120,Y,71120,67480,4540000,Vavuniya,Private Sector,Low Risk
LP0083,Housing Loan,Male,No,0,Graduate,Yes,120,Y,168340,184160,4750000,Mannar,Private Sector,High Risk
LP0084,Vehicle Lease,Female,No,3+,Not Graduate,No,60,Y,92880,4140,2030000,Batticaloa,Private Sector,Very Low Risk
LP0085,Housing Loan,Male,No,1,Not Graduate,Yes,120,Y,239240,53300,4250000,Kalutara,Informal/Self-Employed,Very Low Risk
LP0086,Housing Loan,Male,Yes,0,Not Graduate,Yes,120,Y,222620,49860,4330000,Colombo,Private Sector,Very Low Risk
LP0087,Vehicle Lease,Female,No,0,Graduate,No,48,N,41040,136260,1910000,Nuwara Eliya,Private Sector,Very High Risk
LP0088,Housing Loan,Male,Yes,3+,Graduate,Yes,120,N,208140,12640,3620000,Batticaloa,Informal/Self-Employed,Very High Risk
LP0089,Personal Loan,Female,No,3+,Graduate,No,60,Y,137660,61660,2140000,Matale,Private Sector,Average Risk
LP0090,Housing Loan,Female,Yes,1,Not Graduate,Yes,120,Y,108220,74380,3630000,Kalutara,Private Sector,Low Risk
LP0091,Personal Loan,Female,Yes,3+,Not Graduate,No,12,Y,228100,142460,700000,Mullaitivu,Government,Very Low Risk
LP0092,Vehicle Lease,Female,No,2,Graduate,No,48,Y,97780,33580,1310000,Matale,Private Sector,Low Risk
LP0093,Personal Loan,Female,Yes,3+,Not Graduate,Yes,36,Y,215980,4720,1180000,Jaffna,Informal/Self-Employed,Low Risk
LP0094,Vehicle Lease,Female,No,2,Not Graduate,No,48,Y,277960,148920,1800000,Kandy,Government,Low Risk
LP0095,Personal Loan,Female,No,1,Not Graduate,Yes,36,Y,198840,88860,1360000,Kandy,Private Sector,Low Risk
LP0096,Business/SME Loan,Female,No,1,Not Graduate,Yes,60,Y,78600,135400,2670000,Ratnapura,Government,Low Risk
LP0097,Housing Loan,Female,Yes,1,Not Graduate,No,120,N,234920,194640,4700000,Colombo,Private Sector,Very High Risk
LP0098,Housing Loan,Female,Yes,1,Graduate,Yes,120,Y,39160,121980,3540000,Matale,Informal/Self-Employed,Very Low Risk
LP0099,Housing Loan,Female,No,1,Not Graduate,Yes,120,Y,297900,171100,4520000,Monaragala,Informal/Self-Employed,Very Low Risk
LP0100,Housing Loan,Male,No,2,Graduate,Yes,120,N,34140,47360,4200000,Ratnapura,Government,Very Low Risk
LP0101,Housing Loan,Male,Yes,2,Not Graduate,Yes,120,N,47980,5700,3940000,Colombo,Informal/Self-Employed,High Risk
LP0102,Housing Loan,Female,No,1,Graduate,Yes,120,Y,263060,2960,3900000,Kandy,Private Sector,Low Risk
LP0103,Housing Loan,Female,No,3+,Not Graduate,Yes,120,Y,261540,80740,4330000,Ampara,Private Sector,High Risk
LP0104,Housing Loan,Female,No,0,Graduate,No,120,N,30420,130980,4450000,Nuwara Eliya,Private Sector,Very High Risk
LP0105,Housing Loan,Female,Yes,1,Not Graduate,No,120,Y,202020,142420,4940000,Gampaha,Private Sector,Average Risk
LP0106,Housing Loan,Female,Yes,3+,Graduate,No,120,Y,47880,199160,4740000,Batticaloa,Private Sector,Very Low Risk
LP0107,Business/SME Loan,Female,Yes,0,Not Graduate,Yes,60,N,40280,97900,2100000,Galle,Private Sector,High Risk
LP0108,Housing Loan,Female,No,1,Graduate,Yes,60,Y,175880,105600,2270000,Trincomalee,Government,Low Risk
LP0109,Housing Loan,Female,No,1,Not Graduate,Yes,36,N,128080,20240,1660000,Mannar,Private Sector,High Risk
LP0110,Personal Loan,Male,No,2,Graduate,No,60,N,187340,194300,2450000,Jaffna,Private Sector,High Risk
LP0111,Housing Loan,Female,Yes,0,Graduate,No,120,N,293220,55700,4320000,Mullaitivu,Private Sector,Very Low Risk
LP0112,Housing Loan,Male,No,0,Not Graduate,Yes,120,Y,112180,74500,3760000,Gampaha,Private Sector,Very Low Risk
LP0113,Personal Loan,Female,No,3+,Not Graduate,No,48,N,295160,91520,1350000,Anuradhapura,Private Sector,Average Risk
LP0114,Housing Loan,Female,No,2,Graduate,Yes,120,Y,173580,115640,3380000,Nuwara Eliya,Private Sector,Low Risk
LP0115,Personal Loan,Male,No,2,Not Graduate,Yes,48,Y,236520,125140,1300000,Nuwara Eliya,Private Sector,Low Risk
LP0116,Personal Loan,Female,Yes,2,Graduate,No,60,Y,265740,195860,2010000,Jaffna,Private Sector,Average Risk
LP0117,Vehicle Lease,Male,Yes,2,Graduate,Yes,48,Y,252960,48160,1100000,Colombo,Private Sector,Low Risk
LP0118,Vehicle Lease,Female,No,0,Graduate,No,48,N,61200,6800,1100000,Kandy,Private Sector,High Risk
LP0119,Housing Loan,Female,Yes,0,Not Graduate,Yes,120,N,55320,56340,4030000,Galle,Government,Very High Risk
LP0120,Personal Loan,Male,Yes,1,Graduate,No,12,Y,237220,49920,770000,Galle,Private Sector,Low Risk
LP0121,Housing Loan,Female,No,1,Graduate,No,120,Y,102760,119240,4910000,Gampaha,Private Sector,Low Risk
LP0122,Personal Loan,Male,No,2,Not Graduate,No,24,N,208820,105980,920000,Kilinochchi,Government,Average Risk
LP0123,Business/SME Loan,Female,Yes,2,Not Graduate,Yes,60,Y,98540,198340,2180000,Kandy,Private Sector,High Risk
LP0124,Housing Loan,Male,No,2,Not Graduate,Yes,120,Y,125600,151480,4720000,Colombo,Private Sector,Very Low Risk
LP0125,Vehicle Lease,Male,Yes,1,Not Graduate,No,48,Y,68540,33780,1350000,Monaragala,Private Sector,Very Low Risk
LP0126,Business/SME Loan,Female,No,3+,Graduate,Yes,60,Y,269920,65340,2260000,Colombo,Informal/Self-Employed,Very Low Risk
LP0127,Personal Loan,Female,Yes,3+,Graduate,Yes,24,Y,267880,88120,660000,Ratnapura,Private Sector,Low Risk
LP0128,Vehicle Lease,Male,No,1,Graduate,Yes,36,N,77120,169060,1470000,Colombo,Private Sector,Very High Risk
LP0129,Housing Loan,Female,Yes,1,Graduate,Yes,60,Y,125800,28840,2470000,Colombo,Government,Very Low Risk
LP0130,Vehicle Lease,Female,Yes,1,Not Graduate,Yes,36,Y,240540,171940,1470000,Nuwara Eliya,Informal/Self-Employed,Low Risk
LP0131,Vehicle Lease,Female,Yes,1,Graduate,Yes,48,Y,36120,88740,1140000,Nuwara Eliya,Informal/Self-Employed,Very Low Risk
LP0132,Housing Loan,Male,No,1,Graduate,Yes,120,Y,189580,108700,3790000,Batticaloa,Private Sector,High Risk
LP0133,Housing Loan,Male,Yes,1,Not Graduate,No,120,Y,103300,168700,3900000,Ratnapura,Private Sector,Very Low Risk
LP0134,Personal Loan,Male,Yes,2,Graduate,Yes,12,Y,233620,82140,540000,Kandy,Government,Very Low Risk
LP0135,Personal Loan,Male,No,2,Graduate,Yes,24,Y,171140,11200,510000,Nuwara Eliya,Government,Average Risk
LP0136,Personal Loan,Male,No,2,Graduate,Yes,12,N,43220,175700,710000,Kalutara,Government,High Risk
LP0137,Personal Loan,Male,Yes,2,Graduate,No,36,Y,122880,110960,1610000,Hambantota,Private Sector,Low Risk
LP0138,Vehicle Lease,Male,Yes,1,Graduate,Yes,36,Y,200060,36520,1060000,Kegalle,Informal/Self-Employed,Low Risk
LP0139,Personal Loan,Male,No,3+,Graduate,No,36,Y,88400,152580,1150000,Matara,Private Sector,Very Low Risk
LP0140,Housing Loan,Male,No,0,Not Graduate,No,120,Y,215480,166500,3790000,Trincomalee,Private Sector,Average Risk
LP0141,Vehicle Lease,Female,No,1,Not Graduate,No,48,Y,253260,62760,1470000,Trincomalee,Private Sector,Average Risk
LP0142,Housing Loan,Male,No,0,Graduate,Yes,48,N,208920,153860,1930000,Colombo,Informal/Self-Employed,High Risk
LP0143,Housing Loan,Female,No,3+,Graduate,Yes,120,Y,276440,165280,4170000,Kilinochchi,Informal/Self-Employed,Low Risk
LP0144,Housing Loan,Female,Yes,2,Not Graduate,Yes,120,Y,284640,156840,4840000,Colombo,Government,Very Low Risk
LP0145,Housing Loan,Female,No,3+,Graduate,Yes,48,Y,154720,134420,1740000,Hambantota,Private Sector,Very Low Risk
LP0146,Vehicle Lease,Male,Yes,1,Graduate,No,60,Y,151560,140040,2160000,Trincomalee,Government,Very Low Risk
LP0147,Vehicle Lease,Male,Yes,2,Graduate,Yes,36,Y,37040,84500,1350000,Kandy,Private Sector,Low Risk
LP0148,Personal Loan,Male,Yes,1,Not Graduate,Yes,48,N,211880,59560,1250000,Monaragala,Government,Very High Risk
LP0149,Housing Loan,Male,No,2,Graduate,No,120,Y,271600,147460,3930000,Gampaha,Private Sector,Very Low Risk
LP0150,Housing Loan,Female,Yes,0,Not Graduate,Yes,120,Y,170100,118140,4730000,Mullaitivu,Private Sector,Very Low Risk
LP0151,Housing Loan,Male,Yes,0,Graduate,Yes,120,Y,33160,121940,3430000,Kurunegala,Government,Average Risk
LP0152,Housing Loan,Male,No,0,Not Graduate,Yes,120,Y,233380,113120,4930000,Vavuniya,Private Sector,Very Low Risk
LP0153,Personal Loan,Male,Yes,3+,Not Graduate,Yes,48,Y,49120,179680,1080000,Colombo,Private Sector,Very Low Risk
LP0154,Housing Loan,Male,Yes,1,Graduate,Yes,48,Y,71420,85180,1870000,Mannar,Private Sector,Low Risk
LP0155,Personal Loan,Male,No,3+,Not Graduate,No,36,N,201900,165720,1480000,Colombo,Private Sector,Average Risk
LP0156,Vehicle Lease,Female,Yes,0,Graduate,No,60,Y,286060,118020,2410000,Gampaha,Government,Very Low Risk
LP0157,Housing Loan,Male,Yes,1,Not Graduate,No,60,Y,249420,186500,2920000,Kegalle,Private Sector,Low Risk
LP0158,Housing Loan,Female,Yes,0,Graduate,Yes,120,N,221580,98340,3680000,Nuwara Eliya,Private Sector,Very High Risk
LP0159,Personal Loan,Male,No,3+,Graduate,No,12,N,99060,168580,980000,Galle,Private Sector,Very Low Risk
LP0160,Housing Loan,Female,No,3+,Not Graduate,Yes,120,Y,163500,50600,4970000,Mannar,Private Sector,Low Risk
LP0161,Personal Loan,Male,No,3+,Graduate,Yes,12,Y,49100,39200,810000,Kandy,Government,Very Low Risk
LP0162,Housing Loan,Male,Yes,0,Graduate,Yes,120,N,155900,140900,4400000,Gampaha,Government,Low Risk
LP0163,Housing Loan,Female,Yes,1,Not Graduate,Yes,120,Y,64240,20960,3260000,Anuradhapura,Informal/Self-Employed,Low Risk
LP0164,Personal Loan,Female,No,1,Graduate,No,24,Y,124060,115440,690000,Anuradhapura,Private Sector,Low Risk
LP0165,Vehicle Lease,Female,Yes,0,Graduate,No,60,Y,161260,50580,2030000,Mannar,Private Sector,Very Low Risk
LP0166,Housing Loan,Male,Yes,1,Not Graduate,Yes,120,N,219300,59280,4320000,Kilinochchi,Informal/Self-Employed,Very High Risk
LP0167,Personal Loan,Female,No,0,Not Graduate,No,48,N,142620,142740,1170000,Gampaha,Government,Very Low Risk
LP0168,Housing Loan,Male,No,1,Graduate,Yes,120,Y,270060,19260,4150000,Colombo,Informal/Self-Employed,Very Low Risk
LP0169,Housing Loan,Male,Yes,2,Graduate,No,120,N,246340,10720,4210000,Kegalle,Private Sector,Very Low Risk
LP0170,Vehicle Lease,Female,Yes,2,Not Graduate,No,60,Y,241480,146800,2630000,Colombo,Government,Low Risk
LP0171,Business/SME Loan,Female,Yes,3+,Not Graduate,Yes,48,Y,222660,143580,1920000,Mannar,Private Sector,Low Risk
LP0172,Housing Loan,Male,No,2,Graduate,No,120,N,253420,159340,4250000,Ratnapura,Private Sector,High Risk
LP0173,Business/SME Loan,Male,No,2,Not Graduate,Yes,60,N,229780,174680,2810000,Trincomalee,Private Sector,Very High Risk
LP0174,Business/SME Loan,Female,No,2,Graduate,Yes,60,Y,281640,16900,2620000,Gampaha,Informal/Self-Employed,Very Low Risk
LP0175,Vehicle Lease,Female,No,0,Graduate,Yes,36,N,274020,115540,1280000,Jaffna,Private Sector,Very High Risk
LP0176,Housing Loan,Female,Yes,2,Graduate,Yes,60,Y,290840,60720,2630000,Kilinochchi,Private Sector,Very Low Risk
LP0177,Personal Loan,Male,No,2,Graduate,No,36,Y,57880,118940,1650000,Batticaloa,Private Sector,Low Risk
LP0178,Personal Loan,Male,No,3+,Graduate,No,48,Y,279460,49880,1410000,Matara,Private Sector,Very Low Risk
LP0179,Housing Loan,Male,No,2,Not Graduate,Yes,120,N,219220,54380,3190000,Colombo,Private Sector,Average Risk
LP0180,Housing Loan,Male,No,2,Not Graduate,No,120,N,124640,37680,4600000,Monaragala,Government,Very Low Risk
LP0181,Housing Loan,Male,No,1,Not Graduate,No,120,Y,104280,86980,4300000,Jaffna,Government,Very Low Risk
LP0182,Business/SME Loan,Male,Yes,3+,Not Graduate,Yes,60,N,40580,103580,2170000,Badulla,Government,High Risk
LP0183,Vehicle Lease,Female,Yes,3+,Graduate,Yes,36,Y,266300,132200,1070000,Matale,Government,Average Risk
LP0184,Housing Loan,Male,No,3+,Graduate,No,120,Y,89160,128600,3330000,Batticaloa,Government,Average Risk
LP0185,Personal Loan,Male,Yes,3+,Graduate,Yes,12,N,188080,143080,750000,Kegalle,Private Sector,Very Low Risk
LP0186,Housing Loan,Male,No,3+,Graduate,Yes,120,N,252120,129760,4180000,Kalutara,Private Sector,Low Risk
LP0187,Housing Loan,Female,No,3+,Not Graduate,Yes,120,Y,291620,94740,4960000,Anuradhapura,Private Sector,Low Risk
LP0188,Personal Loan,Male,Yes,0,Graduate,Yes,36,Y,101820,130500,1150000,Vavuniya,Informal/Self-Employed,Low Risk
LP0189,Housing Loan,Male,Yes,2,Graduate,No,120,Y,236780,77000,4580000,Hambantota,Private Sector,Low Risk
LP0190,Housing Loan,Female,No,3+,Not Graduate,Yes,60,N,167900,13780,2970000,Mullaitivu,Private Sector,High Risk
LP0191,Housing Loan,Male,No,2,Not Graduate,No,120,Y,285300,103500,3030000,Gampaha,Private Sector,Very Low Risk
LP0192,Housing Loan,Male,No,2,Not Graduate,Yes,120,Y,261220,172960,4360000,Nuwara Eliya,Private Sector,Average Risk
LP0193,Personal Loan,Male,Yes,0,Not Graduate,No,12,Y,212620,101560,930000,Polonnaruwa,Government,Average Risk
LP0194,Personal Loan,Male,No,3+,Graduate,Yes,48,N,40500,108960,1460000,Ratnapura,Government,Low Risk
LP0195,Personal Loan,Male,No,1,Graduate,Yes,12,Y,159540,23580,910000,Kalutara,Private Sector,Very Low Risk
LP0196,Vehicle Lease,Female,No,0,Not Graduate,No,60,Y,30020,181480,2760000,Colombo,Private Sector,Very Low Risk
LP0197,Housing Loan,Female,Yes,1,Graduate,Yes,120,Y,37480,128120,3110000,Anuradhapura,Government,Low Risk
LP0198,Business/SME Loan,Female,No,2,Graduate,Yes,60,Y,240640,171820,2160000,Matale,Informal/Self-Employed,Average Risk
LP0199,Housing Loan,Male,No,2,Graduate,No,120,Y,273940,138140,4850000,Kalutara,Private Sector,Average Risk
LP0200,Housing Loan,Male,Yes,0,Not Graduate,Yes,120,Y,254880,176000,3280000,Kilinochchi,Government,Low Risk
LP0201,Personal Loan,Male,No,0,Graduate,Yes,36,Y,122960,32760,1380000,Kalutara,Private Sector,Low Risk
LP0202,Housing Loan,Female,No,1,Not Graduate,No,120,Y,77300,113420,4280000,Kurunegala,Government,Very Low Risk
LP0203,Business/SME Loan,Male,Yes,3+,Graduate,Yes,60,Y,60500,138560,2270000,Gampaha,Private Sector,Very Low Risk
LP0204,Housing Loan,Male,No,1,Graduate,Yes,120,Y,283360,27640,4760000,Galle,Private Sector,Average Risk
LP0205,Housing Loan,Female,Yes,0,Graduate,Yes,120,Y,62920,28060,4520000,Gampaha,Private Sector,Low Risk
LP0206,Business/SME Loan,Male,Yes,1,Not Graduate,Yes,60,Y,30260,180220,2460000,Nuwara Eliya,Private Sector,High Risk
LP0207,Housing Loan,Female,No,0,Graduate,Yes,120,Y,121980,65840,3560000,Ampara,Private Sector,Very Low Risk
LP0208,Housing Loan,Female,No,1,Not Graduate,Yes,120,Y,75560,180220,3160000,Galle,Informal/Self-Employed,Low Risk
LP0209,Housing Loan,Female,No,0,Not Graduate,No,120,N,93100,8380,3170000,Anuradhapura,Government,High Risk
LP0210,Vehicle Lease,Male,No,0,Not Graduate,Yes,36,Y,196420,90340,1230000,Colombo,Private Sector,Very Low Risk
LP0211,Personal Loan,Male,Yes,0,Graduate,Yes,12,Y,106280,66040,570000,Kandy,Private Sector,Low Risk
LP0212,Housing Loan,Male,No,3+,Graduate,Yes,120,Y,292500,157140,4570000,Kurunegala,Private Sector,Low Risk
LP0213,Housing Loan,Male,Yes,1,Graduate,No,120,Y,94320,194000,3460000,Colombo,Private Sector,Low Risk
LP0214,Business/SME Loan,Male,No,1,Graduate,Yes,60,N,252600,157400,2130000,Galle,Private Sector,High Risk
LP0215,Personal Loan,Male,No,1,Not Graduate,No,48,Y,272400,113860,1340000,Badulla,Private Sector,Low Risk
LP0216,Vehicle Lease,Male,No,0,Not Graduate,No,48,N,234640,15340,1210000,Trincomalee,Private Sector,High Risk
LP0217,Personal Loan,Female,Yes,1,Not Graduate,Yes,36,Y,194380,40880,1040000,Galle,Informal/Self-Employed,Very Low Risk
