Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP0152,Male,No,0,Not Graduate,Yes,11669,5656,493,360,1.0,Rural,Y
LP0153,Male,Yes,3+,Not Graduate,Yes,2456,8984,108,360,1.0,Urban,Y
LP0154,Male,Yes,1,Graduate,Yes,3571,4259,187,480,1.0,Rural,Y
LP0155,Male,No,3+,Not Graduate,No,10095,8286,148,480,0.0,Urban,N
LP0156,Female,Yes,0,Graduate,No,14303,5901,241,480,1.0,Urban,Y
LP0157,Male,Yes,1,Not Graduate,No,12471,9325,292,180,1.0,Semiurban,Y
LP0158,Female,Yes,0,Graduate,Yes,11079,4917,368,180,0.0,Semiurban,N
LP0159,Male,No,3+,Graduate,No,4953,8429,98,480,1.0,Urban,N
LP0160,Female,No,3+,Not Graduate,Yes,8175,2530,497,240,1.0,Rural,Y
LP0161,Male,No,3+,Graduate,Yes,2455,1960,81,360,1.0,Urban,Y
LP0162,Male,Yes,0,Graduate,Yes,7795,7045,440,360,1.0,Urban,N
LP0163,Female,Yes,1,Not Graduate,Yes,3212,1048,326,180,1.0,Rural,Y
LP0164,Female,No,1,Graduate,No,6203,5772,69,360,1.0,Rural,Y
LP0165,Female,Yes,0,Graduate,No,8063,2529,203,240,1.0,Rural,Y
LP0166,Male,Yes,1,Not Graduate,Yes,10965,2964,432,360,0.0,Rural,N
LP0167,Female,No,0,Not Graduate,No,7131,7137,117,180,1.0,Urban,N
LP0168,Male,No,1,Graduate,Yes,13503,963,415,180,1.0,Urban,Y
LP0169,Male,Yes,2,Graduate,No,12317,536,421,240,1.0,Semiurban,N
LP0170,Female,Yes,2,Not Graduate,No,12074,7340,263,240,1.0,Urban,Y
LP0171,Female,Yes,3+,Not Graduate,Yes,11133,7179,192,360,1.0,Rural,Y
LP0172,Male,No,2,Graduate,No,12671,7967,425,360,0.0,Semiurban,N
LP0173,Male,No,2,Not Graduate,Yes,11489,8734,281,180,0.0,Rural,N
LP0174,Female,No,2,Graduate,No,14082,845,262,240,1.0,Urban,Y
LP0175,Female,No,0,Graduate,Yes,13701,5777,128,240,0.0,Semiurban,N
LP0176,Female,Yes,2,Graduate,Yes,14542,3036,263,240,1.0,Rural,Y
LP0177,Male,No,2,Graduate,No,2894,5947,165,360,1.0,Semiurban,Y
LP0178,Male,No,3+,Graduate,No,13973,2494,141,240,1.0,Semiurban,Y
LP0179,Male,No,2,Not Graduate,Yes,10961,2719,319,180,0.0,Urban,N
LP0180,Male,No,2,Not Graduate,No,6232,1884,460,180,1.0,Rural,N
LP0181,Male,No,1,Not Graduate,No,5214,4349,430,360,1.0,Semiurban,Y
LP0182,Male,Yes,3+,Not Graduate,Yes,2029,5179,217,480,0.0,Semiurban,N
LP0183,Female,Yes,3+,Graduate,Yes,13315,6610,107,360,1.0,Rural,Y
LP0184,Male,No,3+,Graduate,No,4458,6430,333,480,1.0,Semiurban,Y
LP0185,Male,Yes,3+,Graduate,Yes,9404,7154,75,240,1.0,Semiurban,N
LP0186,Male,No,3+,Graduate,Yes,12606,6488,418,360,1.0,Semiurban,N
LP0187,Female,No,3+,Not Graduate,Yes,14581,4737,496,180,1.0,Rural,Y
LP0188,Male,Yes,0,Graduate,No,5091,6525,115,240,1.0,Rural,Y
LP0189,Male,Yes,2,Graduate,No,11839,3850,458,180,1.0,Rural,Y
LP0190,Female,No,3+,Not Graduate,Yes,8395,689,297,240,0.0,Rural,N
LP0191,Male,No,2,Not Graduate,No,14265,5175,303,360,1.0,Urban,Y
LP0192,Male,No,2,Not Graduate,Yes,13061,8648,436,480,1.0,Semiurban,Y
LP0193,Male,Yes,0,Not Graduate,No,10631,5078,93,240,1.0,Rural,Y
LP0194,Male,No,3+,Graduate,Yes,2025,5448,146,480,1.0,Semiurban,N
LP0195,Male,No,1,Graduate,Yes,7977,1179,91,240,1.0,Semiurban,Y
LP0196,Female,No,0,Not Graduate,No,1501,9074,276,180,1.0,Urban,Y
LP0197,Female,Yes,1,Graduate,Yes,1874,6406,311,180,1.0,Rural,Y
LP0198,Female,No,2,Graduate,No,12032,8591,216,240,1.0,Rural,Y
LP0199,Male,No,2,Graduate,No,13697,6907,485,480,1.0,Semiurban,Y
LP0200,Male,Yes,0,Not Graduate,Yes,12744,8800,328,360,1.0,Rural,Y
LP0201,Male,No,0,Graduate,Yes,6148,1638,138,360,1.0,Semiurban,Y
LP0202,Female,No,1,Not Graduate,No,3865,5671,428,180,1.0,Semiurban,Y
LP0203,Male,Yes,3+,Graduate,Yes,3025,6928,227,360,1.0,Urban,Y
LP0204,Male,No,1,Graduate,Yes,14168,1382,476,180,1.0,Urban,Y
LP0205,Female,Yes,0,Graduate,Yes,3146,1403,452,360,1.0,Urban,Y
LP0206,Male,Yes,1,Not Graduate,Yes,1513,9011,246,240,0.0,Semiurban,Y
LP0207,Female,No,0,Graduate,Yes,6099,3292,356,180,1.0,Rural,Y
LP0208,Female,No,1,Not Graduate,No,3778,9011,316,180,1.0,Urban,Y
LP0209,Female,No,0,Not Graduate,No,4655,419,317,240,0.0,Rural,N
LP0210,Male,No,0,Not Graduate,Yes,9821,4517,123,180,1.0,Urban,Y
LP0211,Male,Yes,0,Graduate,Yes,5314,3302,57,360,1.0,Urban,Y
LP0212,Male,No,3+,Graduate,Yes,14625,7857,457,360,1.0,Semiurban,Y
LP0213,Male,Yes,1,Graduate,No,4716,9700,346,180,1.0,Urban,Y
LP0214,Male,No,1,Graduate,Yes,12630,7870,213,360,0.0,Urban,N
LP0215,Male,No,1,Not Graduate,No,13620,5693,134,480,1.0,Semiurban,Y
LP0216,Male,No,0,Not Graduate,No,11732,767,121,180,0.0,Rural,N
LP0217,Female,Yes,1,Not Graduate,No,9719,2044,104,240,1.0,Urban,Y
LP0218,Male,No,1,Graduate,Yes,3613,1549,442,480,1.0,Semiurban,Y
LP0219,Female,No,0,Not Graduate,No,10944,9956,96,180,1.0,Urban,Y
LP0220,Male,No,2,Graduate,Yes,5856,6140,448,240,1.0,Semiurban,Y
LP0221,Male,No,0,Not Graduate,No,11738,3716,481,360,1.0,Rural,Y
LP0222,Male,Yes,1,Graduate,Yes,7043,4481,287,240,0.0,Rural,N
LP0223,Female,No,0,Graduate,No,6055,7898,153,480,1.0,Semiurban,Y
LP0224,Female,Yes,2,Not Graduate,Yes,13715,6548,259,360,1.0,Semiurban,Y
LP0225,Female,Yes,0,Not Graduate,No,14088,2293,91,180,1.0,Semiurban,Y
LP0226,Female,Yes,1,Not Graduate,Yes,8562,4837,365,360,1.0,Rural,N
LP0227,Male,Yes,2,Not Graduate,Yes,4874,7758,317,180,1.0,Urban,Y
LP0228,Female,Yes,3+,Graduate,Yes,7930,6793,435,180,1.0,Rural,N
LP0229,Male,Yes,1,Not Graduate,Yes,4966,7638,312,240,1.0,Semiurban,N
LP0230,Male,No,2,Not Graduate,No,4581,7993,385,240,1.0,Semiurban,Y
LP0231,Female,Yes,2,Not Graduate,No,13470,6007,436,240,1.0,Rural,Y
LP0232,Female,Yes,3+,Graduate,Yes,2129,5542,414,480,0.0,Semiurban,N
LP0233,Female,Yes,0,Graduate,No,1769,9092,308,480,0.0,Rural,N
LP0234,Female,No,0,Not Graduate,Yes,12331,6356,332,240,1.0,Semiurban,Y
LP0235,Female,No,1,Graduate,Yes,11685,8433,163,480,1.0,Urban,Y
LP0236,Female,Yes,3+,Not Graduate,No,7224,7380,412,360,0.0,Urban,Y
LP0237,Female,No,0,Graduate,Yes,7397,2385,89,360,1.0,Semiurban,Y
LP0238,Female,Yes,3+,Graduate,Yes,12583,4268,466,480,0.0,Rural,N
LP0239,Male,Yes,0,Graduate,No,14649,671,269,480,1.0,Urban,Y
LP0240,Female,No,2,Graduate,Yes,4932,163,178,360,1.0,Rural,N
LP0241,Female,Yes,0,Not Graduate,Yes,10972,8656,57,180,0.0,Semiurban,N
LP0242,Male,No,3+,Not Graduate,Yes,7776,4592,150,360,0.0,Rural,N
LP0243,Female,No,2,Not Graduate,Yes,7395,4795,465,360,1.0,Urban,Y
LP0244,Male,Yes,2,Graduate,No,8615,4798,429,480,1.0,Rural,Y
LP0245,Male,Yes,2,Not Graduate,No,8156,6036,225,360,1.0,Rural,Y
LP0246,Female,No,3+,Not Graduate,No,12052,2355,156,480,1.0,Semiurban,Y
LP0247,Male,Yes,1,Not Graduate,Yes,2075,5887,150,480,1.0,Semiurban,Y
LP0248,Male,Yes,1,Graduate,Yes,8529,7961,309,240,1.0,Semiurban,Y
LP0249,Male,Yes,1,Graduate,No,7599,5827,415,360,0.0,Urban,N
LP0250,Male,No,3+,Graduate,Yes,10999,8737,295,180,1.0,Urban,N
LP0251,Female,No,2,Not Graduate,Yes,4692,4719,324,240,1.0,Semiurban,Y
LP0252,Male,Yes,1,Not Graduate,Yes,4678,593,81,480,1.0,Semiurban,N
LP0253,Female,No,3+,Not Graduate,Yes,7552,4839,186,480,1.0,Urban,Y
LP0254,Male,No,1,Graduate,No,4234,7394,61,180,1.0,Urban,Y
LP0255,Male,No,0,Graduate,No,7616,9651,444,480,1.0,Urban,Y
LP0256,Male,No,1,Not Graduate,No,11904,3493,351,360,1.0,Urban,Y
LP0257,Male,No,1,Graduate,Yes,12044,6164,424,240,0.0,Semiurban,N
LP0258,Female,Yes,2,Graduate,No,5068,2672,65,480,0.0,Urban,N
LP0259,Female,Yes,3+,Graduate,No,11347,4200,178,480,1.0,Semiurban,Y
LP0260,Male,Yes,2,Graduate,Yes,11271,16,112,180,0.0,Rural,N
LP0261,Male,No,2,Not Graduate,Yes,3703,3191,158,360,1.0,Rural,N
LP0262,Female,No,2,Graduate,No,2890,392,424,480,1.0,Urban,N
LP0263,Male,Yes,2,Graduate,No,3242,8616,70,180,1.0,Rural,Y
LP0264,Male,No,2,Graduate,No,3425,6272,207,480,1.0,Rural,Y
LP0265,Male,Yes,1,Graduate,No,2119,571,318,180,1.0,Rural,N
LP0266,Female,Yes,2,Not Graduate,Yes,2774,3631,211,180,0.0,Urban,Y
LP0267,Female,Yes,2,Not Graduate,No,2456,6172,309,360,1.0,Urban,Y
LP0268,Female,No,3+,Graduate,No,3439,9312,461,480,0.0,Rural,N
LP0269,Male,No,0,Graduate,Yes,5453,7177,151,360,1.0,Semiurban,Y
LP0270,Male,Yes,1,Graduate,No,12073,8433,272,180,1.0,Rural,N
LP0271,Female,Yes,1,Graduate,Yes,2468,3897,108,240,0.0,Urban,N
LP0272,Female,Yes,1,Graduate,Yes,11008,8123,296,480,1.0,Urban,N
LP0273,Female,Yes,2,Graduate,Yes,10735,2279,177,240,1.0,Urban,Y
LP0274,Female,No,2,Not Graduate,No,1781,8980,332,480,1.0,Rural,Y
LP0275,Male,No,2,Graduate,No,12536,7451,374,360,1.0,Semiurban,N
LP0276,Female,Yes,3+,Not Graduate,Yes,7762,8906,74,360,1.0,Urban,Y
LP0277,Male,Yes,0,Not Graduate,No,2558,775,180,360,1.0,Urban,N
LP0278,Female,No,2,Graduate,No,5793,6869,402,360,1.0,Rural,Y
LP0279,Male,No,0,Not Graduate,Yes,12224,2247,245,360,0.0,Semiurban,N
LP0280,Female,Yes,3+,Not Graduate,Yes,13520,7088,330,240,1.0,Rural,Y
LP0281,Female,Yes,1,Not Graduate,No,6678,78,453,360,1.0,Urban,N
LP0282,Female,Yes,2,Not Graduate,Yes,8480,8080,467,180,1.0,Semiurban,Y
LP0283,Female,No,0,Not Graduate,No,14972,7099,203,180,0.0,Semiurban,N
LP0284,Male,No,0,Not Graduate,No,10700,3926,431,240,1.0,Urban,Y
LP0285,Female,No,2,Graduate,No,2729,9047,182,480,1.0,Semiurban,Y
LP0286,Male,Yes,1,Not Graduate,No,10727,7340,276,180,1.0,Semiurban,N
LP0287,Male,Yes,1,Not Graduate,Yes,6085,7083,238,480,1.0,Rural,Y
LP0288,Male,No,1,Not Graduate,Yes,9967,6230,314,240,0.0,Urban,N
LP0289,Male,No,3+,Graduate,Yes,4240,9223,421,480,1.0,Urban,Y
LP0290,Female,Yes,0,Not Graduate,Yes,3789,4940,483,480,1.0,Urban,Y
LP0291,Male,No,0,Graduate,No,2739,3271,183,480,1.0,Urban,Y
LP0292,Male,No,0,Not Graduate,No,6870,3456,260,480,1.0,Urban,Y
LP0293,Male,Yes,3+,Graduate,Yes,1625,7788,109,240,0.0,Semiurban,N
LP0294,Female,No,0,Graduate,No,13757,8599,477,180,0.0,Rural,N
LP0295,Female,Yes,3+,Not Graduate,No,14004,7650,426,360,1.0,Urban,Y
LP0296,Female,Yes,1,Not Graduate,No,8973,2711,444,480,0.0,Rural,N
LP0297,Female,Yes,2,Graduate,Yes,13560,1668,499,180,1.0,Rural,N
LP0298,Male,Yes,0,Not Graduate,Yes,10900,147,480,180,1.0,Semiurban,Y
LP0299,Male,Yes,0,Graduate,Yes,6842,6420,413,240,1.0,Urban,Y
LP0300,Female,Yes,1,Graduate,No,8851,365,413,180,1.0,Semiurban,Y
LP0301,Male,Yes,2,Graduate,Yes,8138,9866,262,240,1.0,Urban,Y
LP0302,Male,No,3+,Graduate,Yes,8070,4531,265,480,0.0,Semiurban,N
LP0303,Male,Yes,2,Graduate,Yes,4749,5330,275,480,1.0,Rural,Y
LP0304,Female,Yes,1,Not Graduate,Yes,10610,5510,180,360,0.0,Urban,N
LP0305,Female,No,1,Graduate,Yes,9095,8754,125,360,1.0,Rural,N
LP0306,Male,No,2,Graduate,Yes,13615,8964,335,360,0.0,Rural,N
LP0307,Female,No,3+,Not Graduate,No,7794,6493,326,180,1.0,Semiurban,Y
LP0308,Female,Yes,3+,Graduate,No,8027,5439,205,480,1.0,Urban,Y
LP0309,Female,No,0,Not Graduate,Yes,7257,9765,297,240,1.0,Rural,N
LP0310,Female,Yes,3+,Not Graduate,Yes,14095,6511,267,360,0.0,Semiurban,N
LP0311,Female,Yes,2,Not Graduate,No,3469,7504,239,240,1.0,Urban,Y
LP0312,Male,Yes,1,Graduate,No,12485,1246,466,240,0.0,Urban,Y
LP0313,Female,Yes,0,Graduate,Yes,2391,3839,212,360,1.0,Rural,Y
LP0314,Male,No,0,Graduate,Yes,5970,8551,229,480,1.0,Urban,N
LP0315,Male,No,1,Not Graduate,Yes,8675,2376,83,360,0.0,Rural,N
LP0316,Female,Yes,3+,Graduate,Yes,11725,3009,90,240,1.0,Urban,Y
LP0317,Male,Yes,1,Not Graduate,No,11056,9154,356,360,1.0,Semiurban,Y
LP0318,Male,Yes,3+,Graduate,Yes,9820,1827,480,240,1.0,Rural,Y
